Time,FromRest,Run1,Run2,Run3,Run4,Run5,Run6,Run7,,MassAdded,T2,,,b
6.55,0.9326856,0.7032872,0.6418216,0.6481328,0.6566392,0.6829816,0.659932,0.698348,,,,,,
6.6,0.9381736,0.7117936,0.6431936,0.6456632,0.6508768,0.6678896,0.6481328,0.6838048,,,,,,
6.65,0.9455824,0.7227696,0.6467608,0.6440168,0.6473096,0.6538952,0.639352,0.6706336,,,,,,
6.7,0.95354,0.735392,0.653072,0.6453888,0.6464864,0.6423704,0.6322176,0.6591088,,,,,,
6.75,0.956284,0.749112,0.661304,0.6484072,0.647584,0.6322176,0.6264552,0.650328,,,,,,
6.8,0.9604,0.764204,0.6717312,0.6541696,0.6511512,0.6248088,0.62426,0.643468,,,,,,
6.85,0.9636928,0.780668,0.684628,0.6624016,0.6566392,0.6209672,0.6231624,0.6374312,,,,,,
6.9,0.96726,0.7974064,0.69972,0.6720056,0.664048,0.6176744,0.6250832,0.633864,,,,,,
6.95,0.9680832,0.8152424,0.7153608,0.684628,0.6733776,0.6176744,0.6289248,0.6335896,,,,,,
7,0.9656136,0.8360968,0.7331968,0.698348,0.6854512,0.6195952,0.635236,0.633864,,,,,,
7.05,0.9639672,0.8550304,0.7535024,0.7145376,0.6986224,0.6245344,0.643468,0.6368824,,,,,,
7.1,0.9614976,0.8736896,0.7740824,0.7318248,0.7142632,0.6316688,0.6538952,0.6418216,,,,,,
7.15,0.9568328,0.8928976,0.7976808,0.750484,0.7304528,0.6404496,0.6662432,0.6495048,,,,,,
7.2,0.9524424,0.9112824,0.8201816,0.7702408,0.7480144,0.6525232,0.6799632,0.6582856,,,,,,
7.25,0.9464056,0.9293928,0.8432312,0.793016,0.7672224,0.66542,0.6967016,0.6689872,,,,,,
7.3,0.93982,0.9447592,0.8665552,0.8146936,0.7867048,0.6807864,0.7139888,0.6813352,,,,,,
7.35,0.9321368,0.9612232,0.8896048,0.8349992,0.8103032,0.6975248,0.7331968,0.6967016,,,,,,
7.4,0.9263744,0.9763152,0.91238,0.8591464,0.8317064,0.7164584,0.753228,0.7128912,,,,,,
7.45,0.9170448,0.990584,0.9324112,0.8819216,0.853384,0.7370384,0.7746312,0.729904,,,,,,
7.5,0.9079896,1.005676,0.9546376,0.904148,0.8747872,0.7581672,0.798504,0.7480144,,,,,,
7.55,0.8978368,1.0161032,0.9746688,0.9258256,0.8967392,0.780668,0.8210048,0.7674968,,,,,,
7.6,0.8874096,1.0254328,0.9936024,0.9455824,0.917868,0.8061872,0.8446032,0.7880768,,,,,,
7.65,0.8772568,1.0311952,1.0114384,0.9675344,0.9365272,0.8297856,0.8676528,0.8092056,,,,,,
7.7,0.8662808,1.0388784,1.0287256,0.9870168,0.959028,0.8544816,0.8907024,0.832804,,,,,,
7.75,0.8553048,1.0394272,1.0457384,1.0032064,0.9779616,0.8786288,0.913752,0.8544816,,,,,,
7.8,0.845152,1.0449152,1.0558912,1.0218656,0.9941512,0.9025016,0.934332,0.876708,,,,,,
7.85,0.8347248,1.0443664,1.0525984,1.037232,1.0130848,0.9263744,0.9579304,0.89866,,,,,,
7.9,0.8248464,1.0421712,1.0709832,1.0504032,1.0279024,0.9464056,0.9790592,0.9200632,,,,,,
7.95,0.8157912,1.0377808,1.0805872,1.0616536,1.0418968,0.971376,0.9990904,0.9387224,,,,,,
8,0.806736,1.0295488,1.0844288,1.0709832,1.0534216,0.9927792,1.0177496,0.9584792,,,,,,
8.05,0.7987784,1.0237864,1.0885448,1.0781176,1.0638488,1.0130848,1.0350368,0.9787848,,,,,,
8.1,0.791644,1.0141824,1.0874472,1.0827824,1.071532,1.0295488,1.050952,0.9996392,,,,,,
8.15,0.7831376,1.0004624,1.0844288,1.0858008,1.0778432,1.0487568,1.0643976,1.016652,,,,,,
8.2,0.7776496,0.9875656,1.0781176,1.0860752,1.0778432,1.0613792,1.0767456,1.0325672,,,,,,
8.25,0.772436,0.9721992,1.0676904,1.0841544,1.0830568,1.074276,1.0841544,1.0451896,,,,,,
8.3,0.7677712,0.9582048,1.0602816,1.0772944,1.0803128,1.0860752,1.0951304,1.0567144,,,,,,
8.35,0.7631064,0.9414664,1.0473848,1.0740016,1.0800384,1.0976,1.0984232,1.0707088,,,,,,
8.4,0.758716,0.9261,1.0314696,1.061928,1.0753736,1.10446,1.1047344,1.0800384,,,,,,
8.45,0.7537768,0.9063432,1.0172008,1.055068,1.0679648,1.1091248,1.0992464,1.0868984,,,,,,
8.5,0.7502096,0.8898792,0.997444,1.0424456,1.0594584,1.11132,1.1052832,1.086624,,,,,,
8.55,0.7466424,0.87122,0.9787848,1.0257072,1.0487568,1.1107712,1.1022648,1.0956792,,,,,,
8.6,0.7441728,0.8528352,0.9584792,1.0119872,1.0361344,1.108576,1.0965024,1.096228,,,,,,
8.65,0.7430752,0.834176,0.9365272,0.9944256,1.0213168,1.103088,1.0896424,1.0951304,,,,,,
8.7,0.742252,0.8157912,0.9170448,0.9760408,1.0026576,1.0967768,1.0803128,1.0929352,,,,,,
8.75,0.7417032,0.7982296,0.8950928,0.9540888,0.9883888,1.0874472,1.0685136,1.0874472,,,,,,
8.8,0.7414288,0.7798448,0.8720432,0.93296,0.9675344,1.0734528,1.0528728,1.0803128,,,,,,
8.85,0.742252,0.764204,0.8489936,0.9140264,0.9483264,1.0624768,1.0311952,1.071532,,,,,,
8.9,0.7411544,0.7499352,0.8262184,0.8923488,0.9299416,1.046836,1.0215912,1.0608304,,,,,,
8.95,0.7414288,0.7364896,0.8023456,0.8695736,0.909636,1.0298232,1.0054016,1.0479336,,,,,,
